frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"63","Mar 27, 2025 04:10:18.990066000 India Standard Time","172.16.44.208","52.123.253.99","57878","443",,,,,
"64","Mar 27, 2025 04:10:18.994536000 India Standard Time","52.123.253.99","172.16.44.208","443","57878",,,,,
"65","Mar 27, 2025 04:10:18.994536000 India Standard Time","52.123.253.99","172.16.44.208","443","57878",,,,,
"66","Mar 27, 2025 04:10:19.258020000 India Standard Time","52.123.253.99","172.16.44.208","443","57878",,,,,
"67","Mar 27, 2025 04:10:19.258093000 India Standard Time","172.16.44.208","52.123.253.99","57878","443",,,,,
"68","Mar 27, 2025 04:10:21.187429000 India Standard Time","172.16.44.208","34.237.73.95","57258","443",,,,,
"69","Mar 27, 2025 04:10:21.192591000 India Standard Time","34.237.73.95","172.16.44.208","443","57258",,,,,
"70","Mar 27, 2025 04:10:21.411240000 India Standard Time","34.237.73.95","172.16.44.208","443","57258",,,,,
"71","Mar 27, 2025 04:10:21.458297000 India Standard Time","172.16.44.208","34.237.73.95","57258","443",,,,,
"72","Mar 27, 2025 04:10:22.001302000 India Standard Time","172.16.45.212","255.255.255.255",,,"68","67",,,
