frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"62","Mar 27, 2025 00:31:45.602355000 India Standard Time","172.16.44.208","172.20.165.210","65301","7680",,,,,
"63","Mar 27, 2025 00:31:47.022654000 India Standard Time","172.16.44.208","172.16.1.11",,,"49152","53",,,"p2p-sgp1.discovery.steamserver.net"
"64","Mar 27, 2025 00:31:47.066927000 India Standard Time","172.16.1.11","172.16.44.208",,,"53","49152",,,"p2p-sgp1.discovery.steamserver.net"
"65","Mar 27, 2025 00:31:49.063670000 India Standard Time",,,,,,,,,
"66","Mar 27, 2025 00:31:49.065654000 India Standard Time",,,,,,,,,
"67","Mar 27, 2025 00:31:49.175123000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"68","Mar 27, 2025 00:31:49.231146000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"69","Mar 27, 2025 00:31:51.581956000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"70","Mar 27, 2025 00:31:51.620503000 India Standard Time",,,,,,,,,
"71","Mar 27, 2025 00:31:51.629915000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"72","Mar 27, 2025 00:31:53.608495000 India Standard Time","172.16.44.208","172.20.165.226","65302","7680",,,,,
"73","Mar 27, 2025 00:31:53.609195000 India Standard Time","172.16.44.208","172.20.165.210","65301","7680",,,,,
"74","Mar 27, 2025 00:31:59.916575000 India Standard Time","172.16.45.2","224.0.0.251",,,,,,,
"75","Mar 27, 2025 00:31:59.997352000 India Standard Time","172.16.44.208","34.237.73.95","63715","443",,,,,
"76","Mar 27, 2025 00:32:00.074528000 India Standard Time","34.237.73.95","172.16.44.208","443","63715",,,,,
"77","Mar 27, 2025 00:32:00.618296000 India Standard Time","34.237.73.95","172.16.44.208","443","63715",,,,,
"78","Mar 27, 2025 00:32:00.659993000 India Standard Time","172.16.44.208","34.237.73.95","63715","443",,,,,
"79","Mar 27, 2025 00:32:04.175776000 India Standard Time","172.16.44.208","104.18.27.90","64731","443",,,,,
"80","Mar 27, 2025 00:32:04.260943000 India Standard Time","104.18.27.90","172.16.44.208","443","64731",,,,,
"81","Mar 27, 2025 00:32:05.036581000 India Standard Time",,,,,,,,,
