frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"1","Mar 27, 2025 00:30:07.789173000 India Standard Time",,,,,,,,,
"2","Mar 27, 2025 00:30:07.990670000 India Standard Time","172.16.44.208","34.237.73.95","63715","443",,,,,
"3","Mar 27, 2025 00:30:07.993706000 India Standard Time",,,,,,,,,
"4","Mar 27, 2025 00:30:08.130238000 India Standard Time","34.237.73.95","172.16.44.208","443","63715",,,,,
"5","Mar 27, 2025 00:30:08.135712000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"6","Mar 27, 2025 00:30:08.142207000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"7","Mar 27, 2025 00:30:08.506288000 India Standard Time","34.237.73.95","172.16.44.208","443","63715",,,,,
"8","Mar 27, 2025 00:30:08.553784000 India Standard Time","172.16.44.208","34.237.73.95","63715","443",,,,,
"9","Mar 27, 2025 00:30:08.620694000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"10","Mar 27, 2025 00:30:08.620751000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"11","Mar 27, 2025 00:30:08.689778000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"12","Mar 27, 2025 00:30:08.689778000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"13","Mar 27, 2025 00:30:08.720754000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"14","Mar 27, 2025 00:30:08.721194000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"15","Mar 27, 2025 00:30:08.727408000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"16","Mar 27, 2025 00:30:08.727924000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"17","Mar 27, 2025 00:30:08.728115000 India Standard Time","172.16.44.208","104.21.48.1","65258","443",,,,,
"18","Mar 27, 2025 00:30:08.728173000 India Standard Time","172.16.44.208","104.21.48.1","65258","443",,,,,
"19","Mar 27, 2025 00:30:08.875696000 India Standard Time","104.21.48.1","172.16.44.208","443","65258",,,,,
"20","Mar 27, 2025 00:30:08.918713000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"21","Mar 27, 2025 00:30:09.247242000 India Standard Time","104.21.48.1","172.16.44.208","443","65258",,,,,
"22","Mar 27, 2025 00:30:09.292125000 India Standard Time","172.16.44.208","104.21.48.1","65258","443",,,,,
"23","Mar 27, 2025 00:30:09.838204000 India Standard Time","172.16.45.2","224.0.0.251",,,,,,,
"24","Mar 27, 2025 00:30:10.963715000 India Standard Time",,,,,,,,,
